userName,content,score,at,appVersion
D Star,"Nah sudah ada perbaikan, fitur semakin lengkap, gak error lg... semoga kedepan lebih baik 👍",5,2024-02-02 03:43:15,
Rizhal Prayoga,good,5,2024-02-02 03:41:24,81.15.0
AKUN YouTube,suka sama IM3 cuma gara'' ada Impoin jadi serasa punya Kouta darurat,5,2024-02-02 03:36:19,81.13.0
Yayuk Musarofah,Aplikasi g bener mau beli kuota padah data g dinyalain malah kesedot doang pulsanya kuota nya g nyampe,1,2024-02-02 03:36:11,82.0.3
Edo Erlangga,mantap,5,2024-02-02 03:36:08,82.0.5
Ahwan Setiawan,jelek bgt,1,2024-02-02 03:34:28,
Purnama Laluyan,sangat memuaskan,5,2024-02-02 03:33:59,82.0.5
Risma 124,sangat baik,5,2024-02-02 03:33:31,82.0.5
Nauffal Abyan,"Gak jelas ini paket kuota darurat, saya mengambil kuota darurat yang 2gb tapi yang bisa di pakai cuma 1gb dan 1gb lagi tidak bisa di pakai sama sekali ini gimana sih",1,2024-02-02 03:27:53,82.0.5
Nova Fitriani,sangat membantu,4,2024-02-02 03:10:35,81.3.2
Aldi Ardiansyah,Kok semenjak gua pake im3 susah banget ngakses Internet harus pake login indosat segala lagi padahal sebelumnya gak gitu,1,2024-02-02 03:07:24,
Lisna Sari,"Udh download pas mau log in masuk ga bisa ,ga ada otp nya ga terkirim di sms nya",2,2024-02-02 03:01:28,82.0.5
Birat Hendri Waskito,m3 jaringan bagus paket promo nya sangat membantu,5,2024-02-02 02:57:48,82.0.5
Grobogan Grobogan,sangat ok sekali,5,2024-02-02 02:42:50,82.0.2
Ade Sistiawanto,Tidak bisa login karena OTP gak masuk,1,2024-02-02 02:34:28,82.0.5
Bang Yos,Terbaik,5,2024-02-02 02:34:20,82.0.5
Jojo Kiki,harga nya makin sini makin mahal da tidak dapat menukarkan Mpoint,3,2024-02-02 02:33:36,81.16.0
Hafor Zet,Masih lemot gw pakek wan wan di kata katain gara gara lag bintang 4 dulu bintang 5 kalo udah bisa 5G atau minimal 4G+ lah,4,2024-02-02 02:25:59,82.0.5
Niyat insun,Mahal sekarang cumak awal dulu murah semakin lama semakin mahal data habis belum sempat daftar paket pulsa hilang dulu saodaraku saya suruh pakek IM3 semua .sekarang mahal pulsa habis sendiri mau ganti kartu ajalah .,1,2024-02-02 02:21:48,82.0.5
Ardan Putra prinorma,"Impoin ga pernah masuk ke akun, padahal udah 2x24jam dan 2 kali",4,2024-02-02 02:20:18,82.0.5
Uwunk Sick,mantap,5,2024-02-02 02:19:59,81.15.0
Vinno Valentino,oke,5,2024-02-02 02:18:00,82.0.5
panggabean Monalisa,makin bagus jaringannya,5,2024-02-02 02:13:13,82.0.2
Adriansyach Aprilio,Proses nya lama sekali beda dengan kalo pakai kode USSD,1,2024-02-02 02:06:17,82.0.5
AGUS NURJAMAN,semoga lebih sukses lagi,5,2024-02-02 02:04:36,81.16.0
a y putro,Sampai saat ini masih TOP ⭐⭐⭐⭐,5,2024-02-02 01:47:32,82.0.3
Wastam Ganteng,Uuh ke potong Mulu pls gw Males gw pake kartu Indosat lebih baik Telkomsel sekalian udh ke tahun kaga di Potong pls gw,1,2024-02-02 01:46:59,82.0.5
Msdalifah mw,Wahh harga Kouta Indosat bener² udah diluar nulur wkwkw harga semakin tinggi jumlah Kouta semakin menurun,3,2024-02-02 01:37:30,
Ipul Epul,"Nggak kartunya, aplikasinya, dan layanannya semuanya NGGAK NIAT JANGAN DI INSTAL/DOWNLOAD apk ga ada gunanya layanan ga nyambung terus mau ajukan keluhan di suruh isi udah malah ga bisa bisa dan kartu nya nyedot pulsa #JANGANPAKEMYM3",1,2024-02-02 01:33:59,82.0.5
Nurul Dina,baie goed,5,2024-02-02 01:33:17,82.0.5
Deril Ramadhani,oke,5,2024-02-02 01:29:23,82.0.5
Rotan Daveto Putra,Indoset babikk...mentang² batas hari pengen abis jaringan langsung ilang²an..bngst udah sering banget ngalamin kejadian yg kaya gini,1,2024-02-02 01:27:29,82.0.5
Abhi Rama,uhuy,4,2024-02-02 01:26:20,82.0.5
Najib Maulan,"Paket internet (kuota) indosat sekrang mahal-mahal, semakin kesini, semakin mahal",1,2024-02-02 01:20:32,82.0.5
Noer Hanipah,𝒊𝒎𝟑 𝒕𝒉𝒆 𝒃𝒆𝒔𝒕 𝒑𝒐𝒌𝒐𝒆,5,2024-02-02 01:18:13,82.0.5
Langgeng21 Sinareng bagja,Kenapa gua paketin nelpon 5000 gagal mulu sedangkan gua lg butuh parah banget nih indosat sekrang Dan kenapa setiap isi pulsa Selalu di ambil sama oprator Gua pake indosat dari taun 2012 Jangan sampe gua ganti kartu ni Gara gara indosat potong pulsa tanpa sebab,1,2024-02-02 01:14:31,82.0.5
Wahyu Pratama,jaringan masih kurang stabil mohon diperbaiki lagi,4,2024-02-02 01:06:25,82.0.5
Nanda lismana,bagus,5,2024-02-02 01:03:35,82.0.5
Willy Yanhamisa,Harga naik jumlah paketan malah turun,2,2024-02-02 01:03:24,82.0.3
Nabila Amelia,jujur apl ini sangat bagus 😎👍,5,2024-02-02 01:03:09,81.16.0
Rinjani Putri Adara,mantap,5,2024-02-02 01:02:05,82.0.5
Stefanie Rufus,jaringan cukup stabil walaupun hujan,4,2024-02-02 01:02:04,81.16.0
Bil Holy,nyedot pulsa,1,2024-02-02 01:00:16,82.0.5
rani ag,bagus,5,2024-02-02 00:57:05,82.0.5
Kosim Phone,sangat baik terimakasih untuk layanan lm3,5,2024-02-02 00:49:41,81.16.0
Muhammad Reno saputra,Sangat baik aplikasi my m3 ini aku sampek di kasih kuota gratis 100 GB dan dikasih uwag tunai 10.000.000 juta kamu kapan mau donlowad may m3 sekarag bakso tanpa tepung ...... Bokep,5,2024-02-02 00:41:03,81.16.0
Adi FRLUBNQS,keren,5,2024-02-02 00:40:29,81.10.0
Agung Setiajii,semoga dapat kuota gratis,5,2024-02-02 00:32:51,82.0.5
Elfa tulong,baik,5,2024-02-02 00:26:16,81.16.0
Alfii Wardana,Mendingan,4,2024-02-02 00:18:13,82.0.5
Viky Lendeon,"Operator TERBURUK saat ini....susah login aplikasi, jaringan jelek....pkoknya smua yg terburuk ada di INDOSAT",1,2024-02-02 00:12:13,82.0.5
Ochiem Redeye,Semoga tidak ada pencurian pulsa lagi.,4,2024-02-02 00:08:56,80.4.2
ZR SEMAT Eno,Paket nya mahal²,2,2024-02-02 00:04:23,
Dede Ridwan,bagus cepat jaringan selalu terjaga bagus,5,2024-02-02 00:03:41,82.0.5
Apri Yadi,"dua kali pulsa raib setelah make pinjam pulsa , begitu isi ulang lngsung kepotong dan masih ada sisa kok masih ilang sdang kn sudah ada laporan pemotongan pulsa, gak jelas.jdi males make pinjem2 pulsa lgi jadi nya gaje",1,2024-02-01 23:58:15,82.0.5
Efri Ramadhan Pratama Pratama,yg memuaskan,5,2024-02-01 23:55:31,
budiyanto electronik,maaf bintang 1 dulu karena signal jelek di daerah saya hnya 1bar sering di silang x malahan .. nanti klo signal udh bagus di rubah ratingnya trims 🙏,1,2024-02-01 23:52:47,82.0.5
Zaharudin Din,aku ksh bintang lima,5,2024-02-01 23:45:41,81.16.0
Mahendra Pratama,"Pemberian harga kuota kalian sangat jahat, 100rb dpt 50gb, 50rb masak 12gb, Strategi bisnis kalian itu jahat",1,2024-02-01 23:43:36,
M.wildan m,terbaik,5,2024-02-01 23:39:33,82.0.5
Nuaiman Names,edset,5,2024-02-01 23:32:54,82.0.5
Syifa Maharani,puas pokonamah,5,2024-02-01 23:26:49,
20_Ida Bagus Ade Artha Yoga,"keliatan ada promo, pas beli pulsa promonya malah hilang. gajelas!!!",1,2024-02-01 23:15:52,82.0.5
BEATRIX radit,Nah pas,1,2024-02-01 23:11:58,82.0.2
Fadil Hidayat,"Customer service nya gak memberikan kemudahan apapun, setiap ada keluhan jawabannya gak niat, pulsa kepotong yang disalahin malah pengguna, lagian ribet banget setiap beli pulsa harus matiin data dan ganti 2g sedangkan kalau pakai 2g aja aplikasi nya gak kebuka saran nya gak berguna sama sekali, bukannya bertanggungjawab malah nyalahin customer apa boleh se nyalahin orang begitu?!",1,2024-02-01 23:11:48,81.16.0
Yek Yok,Woii bodoh sinyal jangan goib,1,2024-02-01 23:03:55,
Ayu Nurfajriah,ok,5,2024-02-01 23:02:23,82.0.5
Nadya Pithazmi,"Saya membeli paket, tetapi pembelian gagal Sedangkan pulsa saya habis 100.000 Sudah membuat keluhan, tetapi belum di tanggapi Saya rugi",1,2024-02-01 23:01:31,82.0.5
Adly Affan,bagus,4,2024-02-01 22:55:54,82.0.5
TRUE SIAGIAN,Saya beli kuota 20 G masa berlaku 60 hari seharga Rp.50.000 dari malam tgl 01 Februari 2024 sampai tgl 2 Februari 2024 jam 05.00 masih diproses terus.,1,2024-02-01 22:52:40,82.0.5
Sity Adet,👍👍,5,2024-02-01 22:49:45,81.16.0
zell new,Good,5,2024-02-01 22:45:24,81.16.0
Afnan Fatir,"im3 jangkau nya merakyat, hampir tiap tempat ada. Tapi sayang cuman kurang kuat aja sinyal. Semoga kedepannya makin stabil, jaya selalu.",4,2024-02-01 22:44:52,82.0.5
Wiwin Yustika,🤝,5,2024-02-01 22:44:25,82.0.5
Rusdy Salma,good,5,2024-02-01 22:36:52,82.0.5
ards GOOD,Aplikasinya berguna untuk membeli kuota dan bisa juga untuk mendapatkan nya secara gratis dan bagus juga,5,2024-02-01 22:35:49,82.0.5
Marwan Haidir,mantap,5,2024-02-01 22:25:59,82.0.5
Mansur Mancuy,Sya senang sekali,5,2024-02-01 22:20:04,82.0.5
Arini Syahadah,"Cobalah im3 itu evaluasi. Banyak ulasan yang buruk terkait sinyal/jaringan yang sering low atau tiba-tiba hilang. Jika ajukan komplain selalu jawabnya tim kami sedang berusaha mengoptimalkan, memperbaiki jaringan, dsb. komplain yg kedua, paket data yang semakin mahal. Setiap bulan pasti naik harganya. Walaupun beli lewat aplikasi, hot promo pun tetap ada kenaikan harga paket data setiap bulannya.",1,2024-02-01 22:16:16,82.0.2
Selvi syaqila,terlalu buruk tolong di perbaiki jaringan,1,2024-02-01 22:11:20,81.16.0
ari ndot,bagus,5,2024-02-01 21:37:04,82.0.5
junior master 651,"Pulsa kesedot melulu Gk jelas kepake buat apa,, Gk ada notif G ada langganan apa2 Coba bikin fitur riwayat pemakaian pulsa Itu habis buat apa, tiba2 pulsa berkurang dan g bisa di cek karna apa",1,2024-02-01 21:33:26,82.0.5
Iwan Ekairawan,Mau tanya Apa bisa kirim kuota ke nomor buka myIM3? 😀🙏,4,2024-02-01 21:14:31,82.0.2
Guna an,sangat senang,5,2024-02-01 20:55:05,82.0.5
DD Gemesh,"jaringan lemot di tangerang kota ga sesuai sama harga kuota yg mahal, not recomen buat game² grafik tinggi ...",1,2024-02-01 20:14:18,82.0.5
Realme Indo,"Kenapa sekarang jaringan susah banget,apa lagi buat main game sering hilang jaringan terus juga sekarang harganya naik pula",1,2024-02-01 19:37:30,81.16.0
untung suropati,Saya sudah aktivasi paket vidio tapi mau nonton malah minta beli paket lagi... Payah,1,2024-02-01 19:03:50,
Krisjon Jhon,bagus,5,2024-02-01 18:58:03,
Dimas Aditiya,"Indosat ni kenapa Lohh udah seminggu ga bagus"" Singal kenapaaa Cok,Capekk ak Lamaa"" tolonglah di benerin bukan malah bonus yg di banyakin sinyal tuh hah bagusin",1,2024-02-01 18:28:39,
Irfan Abdillah,good,5,2024-02-01 18:25:29,82.0.5
Salfa Aja,bagus,5,2024-02-01 18:17:22,81.16.0
Lusi Silviani,bagus,5,2024-02-01 18:17:16,
umar diaz prasetya,"Di suruh restart juga percuma kalo sinyal lemot kaya gini udah kaya plosok,rekomendasi kartu lain dong bosen kartu mahal sinyal lemot, harga doang naik sinyal ga di benerin lawak,harga naik sinyal lemot paketan boros nyesel beli nih kartu",1,2024-02-01 18:10:29,82.0.5
Я Юбовь,"Hapus aja fitur Indira ga guna, gmn caranya batalkan perpanjangan kuota? Kok ga ada opsi itu? Kok maksa otomatis perpanjangan kuota?",1,2024-02-01 18:09:18,
Imang Ruswandi,mantap,5,2024-02-01 18:07:33,
cha chiroo,sinyal buruk jaringan terjelek,1,2024-02-01 17:54:47,82.0.5
Bandnana Official,paket FUN tidak bisa di pakai,1,2024-02-01 17:50:36,82.0.5
Hendrik Kurniawan,"saat main game sinyal hilang sendiri bikin males aja,bikin males pake indosat lagi bener bener kecewa👊",1,2024-02-01 17:50:26,82.0.5
Dirga M nur,mantap,5,2024-02-01 17:42:45,
Fiema Mahgfiroh,"Gila ya im3 sekarang, masa beli kuota 7gb 6 jam langsung ludes, parah. Udah mana sekarang harganya naik tpi sinyal ga ada peningkatan, boros nya luar biasa, lama-lama pindah provider lain ini mah klo gini terus, perasaan dari dulu make im3 ga kek gini deh, sekarang kok boros bgttt",1,2024-02-01 17:42:34,82.0.5
Duwan Aja,baik sekali,5,2024-02-01 17:36:29,82.0.5
Gegeh Kristiyanto,Bagus,5,2024-02-01 17:33:15,82.0.5
Sami Yuni,bagus,5,2024-02-01 17:29:44,
Rifki Albukhori Pratama,Ko bisa di Indosat ada game kopi kenangan yang isinya scam semua? Tolong saring lagi game nya.,1,2024-02-01 17:23:10,82.0.5
Adit Sifa,Anjg buat main game burik asuuuuu semoga bangkrut amin mati yang punya saham,1,2024-02-01 17:22:40,
agus azril,paket nya mahal lelet lagi..,1,2024-02-01 17:21:54,
Putra Dewa,Aplikasi tolol,3,2024-02-01 17:20:56,81.16.0
Andi Ahmad,mantap,5,2024-02-01 17:10:03,81.16.0
Desi apriyanti,Pakai Indosat udh lama tpi makin kesini sinyalnya tambah parah gmana sih percuma beli kuota mending gak ush beli klo bkal jelek Kya gni mah mendeng ganti no klo Kya gni trus nyusahin mau download aja susah,1,2024-02-01 17:07:21,82.0.3
Karimova Elina,"Makin lama makin ngeselin , drop sinyal terus. Tiap hari makin aneh kaya orang sakit nihh... Udah gua lakuin segala cara tetep aja drop terus.. udah 5 hari kaya gini terus cape gua liatnya... Gimana ini ? Jangan gini terus dong benerin coba itu masalahnya... Jangan sampai orang ganti ke provider lain.",1,2024-02-01 17:04:08,82.0.5
B Phone,aplikasi nya keren sekali,5,2024-02-01 17:01:35,82.0.5
Amrul Nerazzurra,"Provider paling murahan didunia, sinyal yang amat sangat sangat sangat buruk 👎",1,2024-02-01 16:51:32,82.0.2
Pengguna Google,"Benar benar provider penipu.....minggu kemarin beli quota 20gb rp 50 ribu dapet nya 12 gb,sekarang beli yg 8 gb harga 25 ribu/14 hari dapetnya 6.5gb untuk 5 hari,isi paket tidak sesuai dengan deskripsi,dasar penipu,bukan hanya penipu tapi juga rampok,harga paket 55 ribu tapi pulsa yang dipotong 60 ribu edan bener...kenapa ga direspon???buka indira aja di app error terus,beli quota aja dipersulit kelihatan kalau niat bener mau potong pulsa pelanggan",1,2024-02-01 16:48:10,82.0.2
Dian Arok,"Sekarang jaringan Indosat jelek bet.. lama"" ngeselein",1,2024-02-01 16:42:34,80.1.0
Novalina Kim,Error terus,1,2024-02-01 16:37:43,82.0.3
Arif Mustaqim,"Ini gimana sih konsepnya im3,isi pulsa dapet bundling kuota 5gb..tapi nyatanya ga ada...dah komplain ke cs katanya 1×24 jam..tapi tetep aja ga da perubahan...nipu y",1,2024-02-01 16:33:03,82.0.5
CzxoJR SHOP,"jaringan suka mati sendiri, itu ngeganggu pas ngegame banget, saya harap cepat untuk difix.",1,2024-02-01 16:31:44,82.0.5
Navis Kurtubi,Emang jelek banget ni apk eror terus mau beli paket,1,2024-02-01 16:29:36,82.0.5
Hebitz Leonhart,Di situ dapat 50% potongan harga tapi malah error pas di beli,1,2024-02-01 16:23:35,
Rangga Rangga,Bagus,5,2024-02-01 16:19:54,
bunda gibran,Ik,5,2024-02-01 16:18:42,
Aziz Ngejez,baik,5,2024-02-01 16:18:40,81.16.0
Omo Al,Bagus sekali,3,2024-02-01 16:10:33,82.0.5
Leman Putra,paket terlalu mahal di murahin dong,4,2024-02-01 16:05:02,81.16.0
titin cahyani,baik,3,2024-02-01 16:02:48,81.13.0
Afip,"Tolong untuk layanan pembayaran nya di permudah,, ini benar2 sangat ribet, pake shopee gak masuk dana gak masuk juga hadeeeee",1,2024-02-01 15:59:11,82.0.5
Mus Mulyadhi,sinyal selalu jelek,1,2024-02-01 15:56:56,81.7.0
Jemes Jemes,promo paket internet murah dong,5,2024-02-01 15:42:08,82.0.5
Muhammad Iqsan,"Apasih my im3 sinyal kek t4i ngelag"" paket mahal boros tolong lah di perbaiki",5,2024-02-01 15:39:04,82.0.2
Bombe Penyelamat,"Apk anjingg,apk pencuri uang customer Gw ngisi pulsa 150 k lewat IM3,bayar via bank BCA,di BCA mobile jelas""brhsil Malah di IM3 anjinkk gagal,uang gak kembali pulsa gak dapatt Emang aplikasi haramm babi pencurii",1,2024-02-01 15:31:43,
Rizky,bgus,5,2024-02-01 15:29:44,82.0.5
Egi Winda,saya sangat suka dengan aplikasi ini sangat membantu,5,2024-02-01 15:28:13,82.0.5
Har Tzy,Makin lama makin buruk ni sinyal mana kouta masih banyak tolong lah admin perbaiki sinyalnya,1,2024-02-01 15:22:28,
agus nuradiana,Puas,5,2024-02-01 15:19:03,82.0.5
Ferry Prtama Goesdi,"Aplikasi eror , sinyal im3 selalu rusak deket lebaran. Kouta mahal dan kecepatan tidak maksimall. 555",2,2024-02-01 15:12:34,82.0.5
Tino Prasetyaa,Jaringan indosat makin lol,1,2024-02-01 15:09:54,82.0.5
Akbar Ramadhan,Sampah,1,2024-02-01 15:03:30,81.16.0
Rifaldi Pratama,Kok makin kesini makin lelet sering hilang2 sinyal,2,2024-02-01 14:59:29,82.0.5
Pelor Pelor,baguss,4,2024-02-01 14:53:46,82.0.5
Bang Dhi,"Woi min untuk apk gak usah di update gak guna sumpah gak guna,, dari pada lu update apk enak lu benerin lagi dari masalah jaringan yang tiba tiba hilang,,akses jaringan lambat/data lemot, lu benerin lagi server maintenance nya dari pada lu update apk gak guna bagi kami,, yang berguna itu jaringan lancar gak sering gangguan,, klo jaringan lu bagus udah pasti lu dapat bintang lima tapi lu klo jaringan lu buruk sering gangguan walau pun lu update apk lu cuma dapet respon negatif, paham kagak woii",1,2024-02-01 14:52:52,82.0.5
yuli Lab,Terlalu banyak pesan sampah yang masuk,1,2024-02-01 14:49:15,82.0.5
Areta Sulistianto,Benerin sinyal dulu sono,1,2024-02-01 14:48:40,
Jalmi Hina,Kenapa sinyal indosat makin kesini makin ancur ....harga paket kuota mahal sinyal ancur ..🖕🖕,1,2024-02-01 14:48:28,
Aras nur khalifah Arasnk,Aplikasi nya kyk taii loginn bae lamaaa bangettt jdi kesell nungguin nya udh lah hapus aja hapus mening pindahhhh aplikasi ke AXIS atau Telkomsel.,1,2024-02-01 14:47:40,
Tami Mukri,Bagus,5,2024-02-01 14:44:20,82.0.5
AG Reborn,sinyal im3 skrng sering gangguan. udah males pake im3 lagi ga kayak dulu. udah berapa bulan sinyal im3 lemot,1,2024-02-01 14:44:18,82.0.5
Arel Yusuf,Sinya kenapa sudah lima hari lemot banget enaknya gimana nih sat mending pindah kartu aja?,1,2024-02-01 14:41:59,82.0.5
Istiqomah Nurfadilah,bagussss bangettt,5,2024-02-01 14:41:29,81.7.0
Dian Angga Sasmitha,Layanannnya sangat ramah,3,2024-02-01 14:40:23,81.16.0
Rama Sipuden,Maaf pihak mym3 saya telah melakukan pembelian diamond di apk ini 3 kali dan hanya satu yang baru masuk mohon bantuannya😁terimah kasih,5,2024-02-01 14:40:17,82.0.5
Irsyadfadhli Ali,"Sorry tak kurangi bintangya kerena apa. Sinyal kadang ilang kadang ada kalo udah BNR"" setabil kaya dulu fullll bintang makasih",2,2024-02-01 14:39:05,82.0.5
Muhammad Bagas Dwi andrian,mayan,5,2024-02-01 14:38:03,81.16.0
Ahmad Rendy,Aplikasi sampah,1,2024-02-01 14:37:50,
Jua riya,m.mm,5,2024-02-01 14:22:42,
Frendy Rama,Kecewa berat sama fitur pulsa darurat .,1,2024-02-01 14:22:27,82.0.5
HD Chanel,menguntungkan,5,2024-02-01 14:19:43,81.8.0
Mhmmd Riki,Kenapa saya gk bisa masuk ke akun saya ya?? Kode Verifikasi juga gk ada,1,2024-02-01 14:17:41,81.2.0
Mas Berto,"im3 skrang jauh lebih baik daripada im3 sblmnya, selain paket kuotanya murah kualitas jaringannya juga bagus.",5,2024-02-01 14:15:54,82.0.5
Agu Andika,Saya. Kecewa dengan kualitas sinyal im3.kalau gini terus auto ganti kartu.nyesal pake indosat.tolong perbaiki secepatnya kualitas jaringan im3.kami kecewa,1,2024-02-01 14:13:57,82.0.2
andika kurniawan,"sinyal 4g jaringan im3 tidak muncul padahal paket data masih banyak internet tidak dapat digunakan. setiap mati lampu sinyal hilang, dan setiap hujan sinyal susah. cust service tidak merespon. hampir 10menit lebih tidak juga disambungkan tidak diangkat.!",1,2024-02-01 14:10:42,82.0.5
irul st6 gpl,Oke banget,5,2024-02-01 14:10:37,82.0.5
Fajar Wuner,aplikasi yang sangat bagus,5,2024-02-01 14:10:33,
ZODIAK VIRGO,TOLONG LAH UNTUK M3 SAYA MASIH ADA PAKET DATA DAN KENAPA PULSA SAYA TERKURAS PADAHAL PAKET DATA MASIH ADA KASIH MODE KUNCI PULSA DONG BIAR PULSA AMAN GAK KE KURAS AXIS AJA ADA MODE KUNCI PULSA -AXIS NO ONEE BROO AXIS TERBAIK GAK KEK M3🤮🤮🤮🤮🤮,1,2024-02-01 14:09:35,82.0.5
Miftahul Ulum,Kode verivikasinya ga pernah dateng hadehhh,1,2024-02-01 14:07:37,
Muhammad Abdul muis,keren banget,5,2024-02-01 14:06:06,81.14.2
ikom boest,Kenapa g ada promo lagi .,1,2024-02-01 14:04:26,
fahri jal,Kenapa kartu indosat ooredoo skrg terlalu mahal kali yah pdahal aku pelanggan setia im3 selama hampir 4 tahun dan setiap pasang paket freedom internet harganya sangatlah mahal yang biasanya terjangkau skrg harganya sangat mahal...saya kira semakin lama di gunakan smakin paham indosat ooredoo terhadap pelanggan nya ternyata salah...tlong perbaiki paket freedom internet dan tlong berikan kemurahan soal masalah paket freedom internet yang dulunya stiap buat paket psti sllu ada gratis nelpon...,3,2024-02-01 14:03:59,82.0.5
Kiki Panji,"Plss lah woi Indosat lu knp ngeleg sekarang woi,,,pdhl lu ga pernah ngelag tpi sekarang knp jdi rusak gini jaringannya,,,,kapan kelen benerin jaringannya,,gw tersiksa klo ngeleg' trus,,,klo gini trus bkln bnyk yg ganti kartu ini mah,,,tu liat langsung peringkat 7 begitu peringkat 2",1,2024-02-01 14:03:21,
Antok Antok,sinyalnya buruk banget ya setelah gabung dengan tr3 khususnya cikarang,2,2024-02-01 14:02:50,82.0.2
culess 01,Sekarang gampang erorr kartunya,1,2024-02-01 14:01:52,82.0.3
Prasetyo Np03,Jaringannya sangat buruk,1,2024-02-01 14:01:26,
Muhammad Hafid,Minimal ya ad gratisnnya taii!!,4,2024-02-01 14:00:00,
fitri yani,Sangat tidak nyaman dengan koneksi sinyal im3 sekarang.koneksi internet yang burik .nyesal kayak nya pake kartu im3.sudah beli paket data tapi kuota gk bisa dipakai karna koneksi buruk.mohon untuk segera diperbaiki .kami pengguna indosat sangat kecewa,1,2024-02-01 13:57:37,
Syaf Rudi,baik sekali.,5,2024-02-01 13:56:29,82.0.5
Agusvnyjlno,"Udah harga paket makin mahal , sinyal gampang ilang , urusin dulu sinyal baru harga klo emg ga niat mending tutup aja dari pada makin bobrok mending bubarin aja tuh pt",1,2024-02-01 13:55:58,82.0.5
Ahmad Kosasih Mulyadi,mantap,5,2024-02-01 13:51:07,82.0.5
Sri Sukma,Tolonglah diperhatikan jaringan M3 didaerah saya.kecamatan bumi raya kab.morowali sulteng.disini sering padam listrik jaringan m3 pun ikut hilang.bahkan listrik sdh menyala jaringan m3 masih tdk ada jaringan.mending tdk usah pasang jaringan disini jika tdk mampu menfalitasi jaringan anda.,3,2024-02-01 13:50:32,82.0.2
Muhammad Rifhan,ya bagus,4,2024-02-01 13:48:15,82.0.5
Juanda Irsan,sangat berguna,5,2024-02-01 13:46:29,
Vina Renita,kuota terlalu mahal dan jaringan kurang bagus apalagi saat mati lampu sinyal hilang,1,2024-02-01 13:43:46,
Agung Sunandar,ok,1,2024-02-01 13:42:50,82.0.5
Samsul Maarip Maarip,"Jaringan gak jelas naik turun pea, gak cocok di pake",1,2024-02-01 13:41:06,82.0.5
Aldan nurohman,Sinyal ny kurang bagus suka lag tbtb,2,2024-02-01 13:37:18,81.10.1
