content,score,label
Kenapa gua paketin nelpon 5000 gagal mulu sedangkan gua lg butuh parah banget nih indosat sekrang Dan kenapa setiap isi pulsa Selalu di ambil sama oprator Gua pake indosat dari taun 2012 Jangan sampe gua ganti kartu ni Gara gara indosat potong pulsa tanpa sebab,1,0
Saya baru beli paket trus tiba tiba paketnya ilang semua malah keganti sama kuota darurat tolol,1,0
Sinyal ghoib kek ajg,1,0
Ini macam a sinyal buat main game mobile legend aja jumping banget,3,0
"sinyal lemah di daerah Indralaya Mulya Kecamatan Indralaya Kabupaten Ogan Ilir, silahkan diperhatikan dan diperbaiki, dan perbaiki juga sinyal kartu tri, harganya juga dikurangi ya, jangan mahal2, terimakasih",1,0
"Sinyal jelek trus, mau duitnya doang tp kaga mau ngbenerin",1,0
"Provider penipu. Saat pulsa dan masa aktif habis, ada promo internet 30hr murah. Pas beli pulsa tiba2 promo hilang. Nipunya terlalu ini ke konsumen",1,0
Sinyal ditempat saya super jelek. Sering gak ada sinyal,3,0
Sinyal ya sekarang makin lama makin buruk..,1,0
mayan,3,0
Kartu indosat lindosat kartu terburuk mengganggu aktifitas kerja orang . Nyesal gua pakai Indosat,1,0
"Kepada pihak myIm3 yang terhormat saya memiliki 10 rb pulsa dan saya mengambil 15rp dari pulsa darurat masa pulsanya tidak ada yg masuk sepeserpun malah pulsa saya menghilang begitu saja tanpa ada pemberitahuan , tolong segera di perbaiki yaaa",1,0
Saya kecewa isi pulsa 10000 ribu tidak dapat point apa pun.. dan saya isi ulang pulsa di potong 2000 ribu sangat membingungkan padahal tidak ad pulsa darurat ...,2,0
"Maaf ulasan nya gw ubah,awal nya nyaman,tp kesini2 nya malah tambah mahal,mau beli paketan aja di persulit🙄,percuma kan 30hri kalo gak ada paketan nya,giliran mau beli katanya masih ada paketan yg aktif ya emang aktif tp gk ada paketan nya kan percuma😡,",1,0
"Untuk saat ini apk M3 sangat tidak memuaskan , entah kenapa setiap buka apk M3 nya selalu gagal atau eror dan katanya di suruh install ulang ,udah install ulang beberapa kali cuma tetap aja gak bisa",2,0
"Indosat makin kesini makin ngrugiin buat orang yang on medsos,!!",1,0
Kartu jelek leg mulu gua beli kuota pakek uang bro bukan pakek dayn,1,0
Ini kenapa lagi nggak ada sinyal sih,2,0
"paket data mahal, jaringan busuk. mau di kota mau di desa, sama saja jaringan busuk, jaringan hilang saat penting itu parah.MENGECEWAKAN",1,0
sinyal gangguan ga jelas,1,0
Yo ndak tau,3,0
Sigal nya lemot sekali suka mati sendiri signal nya mana lama lagi stabil nya aku suka buat kulya jdi ribet urusan signal ini kagak bisa di andelin payah,1,0
"Kenapa udah seminggu ini ga bisa dibuka aplikasinya ya,padahal sudah di restart dan uninstal ulang tapi masih tetap aja ga bisa dibuka,ada apakah gerangan dengan myim3?😔",1,0
Lama lama kok makin mahal paket data nya 🤮,1,0
giman cara nya hubungi pihak im3 saya sudah beli paketan kok blom masuk ya,1,0
Kecewa aplikasi ga fungsi tulisannya re load,1,0
"Kota malang kecamatan tumpang dusun sumbersari sering sinyalnya menghilang, kenapa Indosat sekarang sinyal nya makin ngelag makin hilang, tolong perbaikannya",1,0
"Kalau internet masa aktifnya mau habis jangan di jelek-jelekin jaringannya, kuota masih banyak padahal. Tiap masa aktif mau habis pasti gitu, aneh banget",1,0
Hati-hati IM3 itu zombie pulsa alias diam-diam potong pulsa di saat tidak beli paket dan data SIM non-aktif. Lebih baik pilih provider biru yang di aplikasinya ada fitur Kontrol Pulsa sehingga tidak akan potong pulsa di saat tidak beli paket dan data non-aktif juga.,1,0
"Apa ini im3, perasaan dulu jaringan nya baik2 aja kok sekarang semakin lama semakin buruk yaa, bahkan game aja gak bisa login padahal jaringan udah 4G+, tapi buka sosmed lancar tolong diperhatiin ya utk sinyalnya, ini aplikasinya juga gak bisa di buka katanya gangguan sinyal padahal udah 4G+ loh",1,0
"Kartu cacat, masa kita ngisi pulsa tidak menghidupkan data tapi pulsa di sedot, emang kartu biadap, baru saja menjadi kacung perusahaan kartu saja sudah korupsi",1,0
"buset ini Indosat kagak pernah ada jaringan, jaringannya selalu kagak ada",1,0
Woilahhh kenapaa matoddd internetnya,1,0
"Update yang malah seperti downgrade,Keterangan pembagian kuota tidak tersedia,ui aplikasi malah dibuat rumit, dan masih banyak kekurangan dibandingkan versi sebelumnya",1,0
Ini Indosat ga jelas,1,0
"Live chat komplain di website nya,masa iya gak mau dengerin keluhan malh di clos mulu.alesanya ada durasinya padahal pesan dia baru bls pas mau ketik kolom nya ilang.",1,0
Udah tambah mahal aja paket internet nya,1,0
Kecewa bangat sama kartu ini baru beli paket 100 gb tiba tiba habis Kecewa sekali dengan aplikasi ini,1,0
"Tiba-tiba sinyal jelek, padahal cuaca bagus, kenapa ini? Udah restart, mode terbang tetap jelek",1,0
saya kasih bintang 3 krna kadang paket nya ada yg mahal kurangin dunk harga paekt sebulan pakai,3,0
Saya sudah berlangganan lebih 10 tahun. Tapi signal Indosat semakin tidak bagus. Saya di Malang kota signal hanya satu tepatnya di Bumiayu Kota Malang,1,0
baik,1,0
"tolong beri fitur pulsa agar pulsa ga ngurang sendiri, masa pulsa ga diapa apain ngurang sendiri padahal ga berlangganan apapun+ga punya hutang pulsa",1,0
"sahammu melejit tp sinyalmu medit,pailit,cepat atau lambat ga ada yg minat...kalah dgn kompetitor. perbaiki kualitasmu bukan hnya laba mu..saran dari pengguna setiamu yg ingin berpaling darimu,tp apa lah daya nmr ini sudah terdaftar di akun sekuritas",1,0
iM3 makin gajelas. Pulsa safe apaan.... Bonus internetan abis pulsa juga ikut abis....lucunya pulsa udh abis banyak baru dpt notif. Fake slogan!,1,0
"provider paling TOLOL, listrik padam gak bisa dipakai",1,0
Sinyal sering jelek di hari minggu,1,0
"Mohon untuk memperbaiki sinyal internet di tempat kami,kususnya desa nuar maju,Buay Bahuga,way kanan Lampung🙏.",1,0
saya tidak bisa memasuki aplikasi myIM3. saya mohon perbaikan nya kepada pihat developer myIM3🙏,2,0
"Customer service nya gak memberikan kemudahan apapun, setiap ada keluhan jawabannya gak niat, pulsa kepotong yang disalahin malah pengguna, lagian ribet banget setiap beli pulsa harus matiin data dan ganti 2g sedangkan kalau pakai 2g aja aplikasi nya gak kebuka saran nya gak berguna sama sekali, bukannya bertanggungjawab malah nyalahin customer apa boleh se nyalahin orang begitu?!",1,0
"habis update malah susah digunakan ini gimana maksutnya? proses pembelian paket lambat, masih bagus versi sebelumnya daripada versi sekarang! untuk perform jaringan, plis lah hilangin notifikasi ""Silahkan ambil kuota Darurat"" ini mengganggu banget pas lagi main games! jaringan hilang waktu muncul notif kayak gitu, padahal dicek kuota masih puluhan GB, jangan sampai saya pindah prvdr lain gara"" ini notif muncul mulu!!",2,0
Bisa bisanya ilang jaringan lama. Kocak anjir ini provider,1,0
Makin hari makin lemot apalagi kalau hujan sering hilang sinyalnya kalau di buat kerja dan main game juga sering ngelag,1,0
"Gangguan terus bikin pising kepala, gx tau orang gabut",1,0
"kenapa ya jaringan Indosat sekarang jelek, dulu tidak seperti ini, saya main game ngeleg terus, tolong dong diperbaiki, buka semua aplikasi jaringannya tidak stabil, padahal sudah beda tempat, tetep saja jelek jaringannya, tolong diperbaiki ya, baru saya kasi bintang 5",1,0
Eror mulu,3,0
penyedot pulsa baru di isi 20 ti tinggal 2 menit ilang pulsanya,1,0
"Tolong tingkatkan lagi kualitasnya untuk pembelian via ini aplikasi, setiap mau isi kuota inet selalu aja gak bisa pembayaran gagal lah atau stuck. tolong lah udah lama pake nih aplikasi tapi dari dulu gak pernah di benerin, kocak bet",2,0
"sering keluar sendiri dari app myM3, saya merasa kesulitan untuk dapat masuk kembali",2,0
"Jelek katanya doang d bonus, mana????!!!!!",1,0
Tahun baru sinyal kenceng❌ Tahun baru sinyal tambah lemot✅ Harga Kouta di mahalin tapi koneksi di turunin lama lama males juga pake im3 Kalau costumer ngeluh bukanya di benerin malah di abaikan provider apaan sih ini gajelas banget sinyalnya busuk,1,0
Dari dulu permasalahan ganguan mulu gua lagi narik orderan orang lama jadinya nympenya karna ga bisa liat alamat gua,2,0
Ini kenapa ya pas pengen daftar kodenya itu gak di kasih² padahal udh nyoba berkali² tapi tetep gak dapet kode OTP gimana nih?,2,0
Panjat koutaa taekkkkkkk,1,0
Tolol,1,0
"indosat lagi kenapa sih kuota ku masih banyak jaringan juga baguss ko bisa bisa nya malah jamkott ngeleg parah, cek lewat WA indosat malah No tidak ter verifikasi, cek di operator malah kesalahan sambungan kode MMI tidak valid kecewaa😭😭",2,0
Aplikasi tolol eror mulu pas mau di buka giliran mau beli jadi ribet gitu,1,0
Sinyal eror mulu. Jelek jaringan,1,0
"Jaringan anj padahal tinggal di kota Tangerang BSD tapi ttp ajah jelekk, buat liat story WA ajah harus muter2 dulu",1,0
Kuotanya malah pake Telkomsel aja lh,1,0
"Woii knpaa ini punyaa saya kok mlahh ngga bisa masuk sama sekli, makin lamaa ituu makin bguss, kok ini malah mkin lmaa mkin bobrokk ni apk",1,0
"Jaringan benerin nying, kek tytyd",1,0
Gue main ular tangga kayak turun terus di setting jir,1,0
Sering error tidak bisa di buka,3,0
Aplikasi nya jelek udah ada pulsa tapi masih GK bisa toup up game,1,0
"oy cok gimana ini dah 3 hari lelet bet padahal 4G sat, percuma dong saya beli kuota",1,0
Mau trasfer pulsa tapi cuma sesama em3 aja bisa.nya..klo ke telkom gk bisa...di kira semua orang pake em3,1,0
MAKIN LAMA MAKIN BOBROK. 1. CUACA CERAH TIDAK HUJAN SAJA NGEDOWN DALAM JANGKA WKTU LAMA 2. LIVE CHT GABERGUNA UDH KAYA BOT. 3 KALAH DARI APAPUN SOAL KENYAMANAN!!,1,0
"Parah any kenapa sih sering banget gangguan tiba tiba tidak ada layanan,nomor anda tidak terdaftar,tapi pas saya tanya ke customer service tidak membantu sama sekali!!! Tolong di perbaiki.... Merusak kenyamanan menyelesaikan tugas pekerjaan.. Apabila ada gangguan atau apapun yang berkaitan dengan menghambat internet tolong ada pemberitahuan",1,0
banyak bug lebih suka yang dulu makin di update makin gajelas,1,0
NYESEL GUE BELI KARTU INI MENDING GUE PAKE SMARTFREN WALAUPUN MAHAL JUGA JANGANNYE GA NGELEG DEMI ALLAH GUE NYESEL BANGET ANJ BELI KARTU INI,1,0
Sangat buruk sangat buruk,1,0
gj kalo mau maketin ga bisa buka kalo udah ada kuota baru bisa di buka GJ,1,0
"Kalau bisa im3 sesama operator selamanya telepon manual gratis ,kaya operator lain ,ya maaf saran saja ini untuk kepuasan para konsumen pelanggan im3 gitu lho .",3,0
"Ini apa konthol paket internet mahal, jaringan kayak taik!!! Tolong lah ini diperbaiki minimal jaringan internet lancar lah kalok enggak paket internet nya di murahin",1,0
Apk tolol gangguan mulu bego setiap kali masuk pasti gangguan,1,0
"Dulu dipuja-puja karena harga paketnya murah, sekarang lebih mahal dari Telkomsel.",1,0
"Haduuuh kenapa lagi ini dengan jaringan Im3, Makin hari makin gak jelas padahal paket masih banyak gak bisa masuk ke Internet",1,0
Jaringan im3 makin gak jelas,2,0
"Sinyal 4Gnya lelet amat kerasa 2G aja, padahal dulu waktu 3G satset kecepatannya.",1,0
Jaringan Indosat sekarang ngeleg Mulu kenapa yak?,3,0
Pket mahal2 di mym3 dan jaringan gak setabil bangeg,1,0
"Im3 dan 3 mah sekarang g bisa di andelin, padahal udah menjalin kerja sama TPI tetep ampas",1,0
"Sudah seminggu sinyal makin jelek, paketan saya tidak bisa dipake game online terbuang percuma",1,0
"Masalah jaringan yang tak kunjung selesai, sinyal juga sering hilang",2,0
sinyal im3 skrng sering gangguan. udah males pake im3 lagi ga kayak dulu. udah berapa bulan sinyal im3 lemot,1,0
"Dari pertama pke aplikasi ini,ga bisa bisa beli paket kuota internet ,selalu tidak dapat di proses,,",1,0
makin lama jaringan Indosat makin buruk,1,0
Promo tidak merata tiap nomor beda promo jadi bikin kesel aja.,3,0
jaringan lag,1,0
Eror trus Hapus aja mending,1,0
bgus aplikasi Nya,3,0
"Sudah beli pulsa sesuai harga paket yang tertera, eh malah ga bisa dibeli padahal sdh diproses 5x.. parah patah payah",1,0
"Aplikasinya gak bisa dibuka kalau gak ada kuota,gimana mau beli diaplikasi",1,0
"ini provider pencuri sih, kuota masih 20 gb tiba2 hilang. jera pakai im3",1,0
Game ular tangga nya gak jelas Ini semua akal² lan my im3 aja,2,0
IwanDoe,1,0
Update teruss sinyal ga pernah benerrr lemottttt,1,0
Cok ngelegg kilo kilo cok raiso maein kilo,1,0
Sumpah ya akhir² ini sinyal jdi jelek trs kuotanya boros bngt mana skrng tiap aku beli paket data g dikasih bonus biasanya tiap isi kuota yg 20gb dikasih bonus trs klo g beli paket promo harganya lebih mahal,3,0
sangat baik,3,0
"W doain nih produk hancur,masa Kouta w 13 GB hilang,parah banget kelihatan banget nipunya,tiba tiba langsung di kasih data harga 5 ribu 1 GB padahal saya tidak transaksi apapun,SAYA DOAKAN NIH KARTU HANCUR MO",1,0
"Ngapa dah gak bisa ngeklaim bonus padahal 0rp, malah dibilang masalah jaringan melulu.",1,0
Ywzt di dstdddyyddd CV x see Zee eZd wa s ada zs ss ssiiiiaaap x seez era sdrr,3,0
Saya mencoba komplen iya mengenai keluhan saya beli paket 35GB tapi status paket saya aktif tapi ga bisa di gunakan malah keterangan paket utama 0 ini gimana saya sudah beli ga bisa di pake rugi donk saya heran gimana sih pelayanannya udah ga jelas banget sama aja nih merugikan orang. Saya udah email sm wa responnya gaa jelas gimanaa ini saya mau paket saya di kembalikan baru juga beli belum di pake udah ilang parah banget IM3,1,0
Makin sini muakin muahal makin buruk jaringannya,1,0
Sumpah pulsa gua ngilang mulu padahal gak ngaktifin apa apa,1,0
Aneh pdahal paket ada tpi knpa gk onlen,1,0
coba dulu,3,0
Cuma satu yang bikin kesel kenapa pas mati lampu sinyal juga hilang ?,3,0
Buat apa ngasih ranting......kpn sih Indosat sinyalnya bagus dan lancar klw hujan udh lemot itu kelemahannya Indosat uinstal aja lama ilang pelangganmu,1,0
"jaringan indosat makin bodoh nya luar biasa.. Tutup aja sekalian ni myim3 abis duit gua gara"" gue percaya bakalan bagus nantinya tapi apa? Makin buruk adanya, makin kagak jelas... Andai bisa ngasih bintang nol.",1,0
Jaring sering hilang,2,0
Jaringan sangat buruk,1,0
Gimana ini m3 kartu masih aktif tapi data seluler gabisa nyala,1,0
"Woi untuk pihak IM3 , untuk jaringan dikondisikan lah selalu bermasalah ,kita bayar pake duit bukan pake daun ,nyari duit susah susah cuma untuk pelayanan yg tidak jelas , kalau gini trus kan konsumen yang dirugikan ,sekian protes saya .Kalau ada kata² yg menyinggung perasaan saya minta maaf 🙏 Ini niat jadi operator ga sih lu koncol,balok 3 kecepatan 100 KB/s apaaan ,gw beli pake duit ya koncol ,operator Ter ampas tertai",1,0
harga nya makin sini makin mahal da tidak dapat menukarkan Mpoint,3,0
sinyal IM3 tidak stabil untuk maen game ngelag dan sinyal error' dengan tiba2.. kualitas sinyal tolong lebih stabil agar TDK mengecewakan,1,0
Ada apa dengan koneksi jaringan banyak terputus gini,1,0
"tingkatkan kinerja aplikasinya , ketika klik aplikasinya lama nunggu utk bisa masuk , mungkin ngelag",2,0
Parah sedot pulsa Indosat busuk...,1,0
Harga makin naik tapi kualitas signal malah makin buruk sesuaikan dong m3 minimal seimbang atau lebih baik signalnya sedikit sedikit ngelaq signal ilang kalo gk bisa buat signal bagus gk usah buat kartu sekalian,1,0
may3 semakin di update semakin tidak baik baik saja paket PeRadoms apes gem ga bisa di pake hati hati penipuan kalo ada paket gem murah aku beli 20 ibu 12 gb 30 hari ga bisa di pake,1,0
"Gak bisa ngunci pulsa save, data jalan pulsa pun kesedot,ini sangat tidak memuaskan.",1,0
Jaringan tidak stabil,2,0
"Jaringan im3 kenapa ini gak bisa di pake buat ngapa"" in ini",1,0
"Indosat im3 semakin kesini semakin busuk, dari segi apapun,,,, awal Januari 2024 sampe sekarang jaringan trobel 2x dan itupun lama2 penyelesaianya, tanggal 3 Januari 2024 trobel 4 hari baru normal, sekarang trobel lagi dan belum terselesaikan sudah 1x24 jam,jujur sya sangat kecewa,menghubungi customer servis suruh nunggu, mau sampai kapan??? Payah,,,",1,0
Kecewa berat sama fitur pulsa darurat .,1,0
"Tidak ada paket gratis lagi, kembalikan seperti semula, entah ngapain update"" saya tidak nyaman menggunakan apk ini, padahal saya sudah berlangganan dengan Im3, saya selalu beli paket ini, kalau tidak di kembalikan seperti semula, saya akan beralih ke paket lain! dan saya tidak akan mau menggunakan kartu IM3 lagi",1,0
IndosatAsu,1,0
"Skali lagi yah buat indosat game panjat kuota, uda iklannya iklan kake zeus, itu dadu angka 1 lu kemanain? Kalo ganiat kasih hadiah GAUSAH KASIH memuakkan tau gak...!!!! Nyesal gw main",1,0
"Aplikasi gk guna, komplen k cs ribet, mau komplen gk bsa kirim foto, trus kata2 terbatas. Ditambah lagi pas disuruh isi data panjang, giliran lgi d isi 1 menit udh d chatt lagi suruh buru2. Apa2an ini aplikasi ribet tau gk. Mau kirim foto bukti ttg komplenan aja hrs k email dulu. Trs fungsi aplikasi apa???",1,0
"Udah ga jaman pake sms pop up, mengganggu!!",1,0
ha sangak baik,1,0
Sy beli paket games ga bisa di pakai udh mahal harganya namun tidak bisa di pakai sama sekali tolong dong ini bukan masalah harga nya tapi tolong di bnrin lgi soal paket games,1,0
kok IM3 gk ada sinyal knp saat main game 999+++ tolong di perbaiki lgi yah sebelum saya patah kan hp saya,1,0
Tolol beli kuota gk masuk2,1,0
"Jaringan makin jelek aja, harga paket mahal",1,0
"Kartu bosok jaringan ngelag padahal bar penuh+4G, apalagi mati lampu sama hujan suka ilang bak ditelan bumi",1,0
Sudah update malah gangguan gabisa dibuka,2,0
"Yg pakai kartu ini. Udah berapa ratus ribu pulsa kalian hilang tiba"" ?. Jaringan gk pernah lancar, pulsa hilang terus. Gua aja udah berhenti pakai kartu ini",1,0
"Sinyal ilang² trs kredit score ilang deh, jangkrik",2,0
Sinyal busuk lemot lol,1,0
Lu asik bang,1,0
"Indosat signal lemah, sekarang ms sering naik ke200, dulu ms disini kalau gak 40-60 sekarang di atas 100, Akan aku tambah bintangnya setelah terjamin ada pningkatan, 👍",1,0
Tidak bisa diinstall,1,0
Tolong jaringan nya diperbaiki lagiii,2,0
"Tolonglah pihak indosat pulsa gw abis sendiri padahal gk di pake, lu pikir beli pulsa gk pake duit tolonglah jangan munafik !!!!",1,0
"pake pascabayar indosat family limit kuota 36gb/bulan, yg masuk bulan ini cuma 16gb doang anjir 20gbnya gimanaaaaaaa, ga jelas mana sinyal klo ujan hilang, ga jelas indosat bapuk",1,0
Gangguan terus,1,0
Jaringan Terburuk Sepanjang semua provider di indonesia,2,0
"Parahhh Indosat jaringan internet buruk makin lama makin ancur ajah, Hampir setiap hari jaringan tidak stabil, Percuma beli kuota mahal tapi kualitan jaringan ancur, Hampir tiap hari sinyal parah, dapet kompensasi juga kaga, Kuota makin mahal sinyal makin ancur, Di suruh on/of hp tetap ajh sama saja, Makan gaji buta lu Indosat, JANGN MAU UNTUNGNYA DOANGLAH 🤬🤬🤬🤬",1,0
"BUG registrasi kartu, Bug Transaksi pulsa sedang proses. Tolong di update aplikasi ini bos banyak bug",3,0
Aku kasih dua aja karna sekarang belik datanya mahal dulu aja gak semahal ini .karna semenjak apdet terus sampai yang murah di jadiin yang mahal tolong dong biar bisa murah lagi,2,0
semenjak di update mau masukin kode voucher ribet,1,0
ngelag su,1,0
"Aplikasi apa ini Lemot banget, Hadeehh",1,0
jaringanmu kenapa ada indikator sinyal 4g tp gk bisa di pakai bikin emosi aja,1,0
selalu jaringan bermasalah,1,0
terlalu mahal untuk kuota nya,3,0
"Makin hari sinyal makin berat, buat YT kualitas low/144 aja tidak kuat loadingnya lama, untuk aps2 lainnya juga, kalau seperti ini terus kualitas Mentari - Indosat/IM3 akan turun dan kurang diminati, tolong segera difix agar kualitasnya naik, tidak harga saja yang naik, terimakasih",1,0
Indosat mending tutup aja sering kali sinyal 4g hilang,1,0
"isi pulsa dalam keadaan hidup data selalu aja kesedot, padahal udah tahun 2024 M3 emang gak bisa ya diadain fitur kunci pulsa kaya operator sebelah tuh. Adanya fitur Pulsa safe juga gak guna saya udah beberapa kali beli Kouta yang ada pulsa safenya selalu aja kesedot pulsanya aneh, ayo diperbaiki semoga makin maju.",3,0
"Tambahin fitur pulsa biar ga kesedot, baru beli pulsa selang bbrp jam kesedot 10k",1,0
im3 kontoooooool buat maen game jalan sedetik udah jumping ke 290 ms pepekkk,1,0
Lah goblk sini beli pulsa buat beli promo malah ilang promonya Kalau cari rejeki yg halal jgn nipu2 blok . Jgn tergiur sama promo fredome internet Kalau waktu pulsa kandas promo bagus2 kalau udh beli promonya ilang gak berkah caramu gini,1,0
"Gua paling benci sama m3 yg skektika ngisi pulsa mau daftar kuota ,tpi ngak kedftar² yg ad pulsa nya ilang ditmbh pake pulsa darurat mlh ngak bertambah emng ajg dri dlu kaga berubah mau didaerah mana atau kota man",1,0
sinyal jlek,1,0
Cs tidak menyelesaikan masalah,1,0
Sinyal makin jelek jagn beli,1,0
Semakin mahal paket internetnya,3,0
Napa sih tiap habis hujan susah sinyal gw mau nugas aja susah,1,0
Pulsa sering hilang sendiri,1,0
Kartu apaan dah kaya bgni makin ksnih makin bapuk .. udh ga pntes di gunain kartu bgni parah,1,0
Sinya kenapa sudah lima hari lemot banget enaknya gimana nih sat mending pindah kartu aja?,1,0
Masa harus up date terus nih my im3 nya kalau GK diperbaharui gk bisa dibuka aneh ....ya boleh aja up date tapi gke 4 hari sekali atau seminggu sekali lah minimal 5 bulan sekali masih mending hadeuhhhhh......tolong nya Indosat aplikasinya ini jangan terus menerus minta pembaharuan,3,0
Babi emang bru isi pulsa mau di daftarin paket kuota udh di sedot aja anjinggg anjingggg,1,0
tolong tolong lah Indosat akhir akhir ini ko ngeleg banget si tolong diperbaiki saya tidak bisa menjalankan aktivitas sayaa dengan lancar gara gara sinyal terlalu ngeleg tolong diperbaiki,3,0
"Tolong tambahkan menu panggilan saat memverifiasi akun nomer telpon/ login menggunakan no telpon im3, sering ga muncul saat hanya lewat sms",1,0
Pulsa saya kesedot lg gimana ini ampun im3 gada abis² nya kesedot muluu😣,1,0
"Apaanih ga jelas , jaringan tiba tiba error padahal kuota masih banyak pas mau wa temen malah ga bisa , hadeh rusak rusak",1,0
Apk babi,1,0
Kenapa akhir² ini sering gangguan!?,1,0
Apk g bner masa saya beli pulsa kouta ga nambah poinnya ttp 0 aneh emg makim kesini makin rusak Indosat tolong pembaruan nya ditingkatlg saya kecewa dengan update sekarang,1,0
"Jaringan bukan d perbaiki malah hancur ga ada jaringan sama sekali,M3 gmn c payah ga ada jaringan Mulu kebanyakan eroor nya dari pada bagus nya",1,0
indosat sekarang banyakan error bener-bener nggak bisa buat ngapa ngapain,3,0
"Makin ke sini makin mahal harga paket internet,nya. Udah gitu sinyal ilang ilangan lagi. Kalo mau naikin harga paket, sesuaikan juga dong sama layanan,nya. HARGA ELIT, JARINGAN STABIL SYULIT.. KOCAK Bener bener jelek sekarang IM3.. Pindah ke XL aja lah kalo gini..",1,0
Jaringannya sangat jelekkkkkk,1,0
Selalu eror dan paket semakin mahal,1,0
bangke lah pulsa kepotong gak jelas gak ada notif apa2 .. pulsa safe ?? tttaaaiii,1,0
Masa paketin di telepon ga bisa lollll,1,0
jaringan koneksi paling jelek ya ni kartu!!!!! harga makin mahal bukannya perbaikin kwalitas malah makin busuuukkkk!!!!!!,1,0
M3 gx jlas . Paketan msh ad . Psti klo ada pulsa nya ttp kepotong trs,1,0
Jaringan y lemot anj ngeleg banget setiap mati lampu / hujan pasti leg jaringan lol,1,0
woy sinyal kemana ini kartu m3 laknat,1,0
Saya mau daftar di apknya tapi kode otp nya tidak dikirim selama 5 hari saya coba terus tetap sama aja,1,0
Jelek burik nga bisa buka internet padahal paket internet sudah ada,1,0
kurang,1,0
"Gimana sih ini pinjamannya,padahal saya cuman butuh 2 jutaan,ini malah yang cair 3 aplikasi langsung sebesar 16 juta,bagaimana cara bayarnya?",1,0
"Sinyal Indosat,tolong min diperbaiki kalo nggak di perbaiki gw nggak bakal lagi pakek kartu Indosat sampe gw mati.",1,0
Kuota 50 GB....ga Kepake...sinyal BURIK...,1,0
